YouTube_logotips,Durada_segons
https://youtu.be/KCKtlvMm-ZA,113
https://youtu.be/3lV0kokUico,371
https://youtu.be/RBBf8jUmV4I,164
https://youtu.be/H8RPPfp1NnM,118
https://youtu.be/xqw1bTIzx4s,100
https://youtu.be/_YbwsW6DPsc,106
https://youtu.be/yOxwuk8ybBE,154
https://youtu.be/uBT3pRlepP0,213
https://youtu.be/xkIXEEKMvf4,106
https://youtu.be/c0Njrh-PnN0,945
https://youtu.be/Ho_5fRmiNUE,76
https://youtu.be/DK67Xsi1BlY,431
https://youtu.be/2D8f_-6GSuc,653
https://youtu.be/rkjL-i3jby4,200
https://youtu.be/MHEji3rBHJY,72
https://youtu.be/Blk1Ih2Lgm0,808
https://youtu.be/RY85UIu1HFA,115
https://youtu.be/6fO8gABh2Vo,69
https://youtu.be/A1vm1uKMxv0,228
https://youtu.be/NasVu9ljGZ4,849
https://youtu.be/PF5cRGdtmac,775
https://youtu.be/zCFOtW-1OxY,1456
https://youtu.be/6wi10Px89bg,1014
https://youtu.be/Ikm6lLEnpqo,337
https://youtu.be/IA9SpxWgbFo,252
https://youtu.be/yPXxuGTYgec,119
https://youtu.be/rV6AvJz49tU,112
https://youtu.be/Dx6qtUdNUNc,164
https://youtu.be/3dwQwB3lYDI,96
https://youtu.be/rKM_pKhhwJE,123
https://youtu.be/l-Ex7zOGNdk,472
https://youtu.be/GnjPdSOVnDE,187
https://youtu.be/veM6LI_QWno,149
https://youtu.be/5Yc1u-YxTfc,97
https://youtu.be/s1n1imepayw,96
https://youtu.be/C1YxSLEVb2Y,113
https://youtu.be/y__eYXxJM3g,88
https://youtu.be/Z2hH5AOSeMM,201
https://youtu.be/-Q9JStVH6oA,113
https://youtu.be/lVo0LmgGuXQ,131
https://youtu.be/dVt_dlI_mWc,57
https://youtu.be/4euTJ9drla0,99
https://youtu.be/-W_r1yOTI4s,109
https://youtu.be/C3wE6uxA8Pg,110
https://youtu.be/5r-guxaUugs,128
https://youtu.be/t8c6PwlQ10w,121
https://youtu.be/1fz0QsRktP4,231
https://youtu.be/xn4jebrtFUM,118
https://youtu.be/daFbSWebL7c,112
https://youtu.be/WHeQifORzLw,128
https://youtu.be/YVck8E6QYyY,188
https://youtu.be/a7Gj3Y1r0vA,156
https://youtu.be/kNqhDrf08Y4,53
https://youtu.be/LIDUi8E4ZGw,118
https://youtu.be/woKWRxdfXJw,225
https://youtu.be/Ez9XbwSrYF0,71
https://youtu.be/Ttb8eF2AU3I,88
https://youtu.be/_-Z5Zi9TV8Y,146
https://youtu.be/l9sVYkIBemI,95
https://youtu.be/YMEVflOPk8o,70
https://youtu.be/E0GMAc_7tt4,172
https://youtu.be/C08Ycm4ILO8,68
https://youtu.be/3PMKAcCXR98,183
https://youtu.be/ONU8i3SWKZ8,86
https://youtu.be/9DP0CBrG0TA,82
https://youtu.be/mHlThqmSlas,137
https://youtu.be/cLOrnOjUj64,130
https://youtu.be/JKbcoCvbpZY,61
https://youtu.be/WbShKRDWBSY,182
https://youtu.be/2X6FpvMiEtM,105
https://youtu.be/2qkJSwNmLg4,101
https://youtu.be/j8umuqrK7cs,70
https://youtu.be/fOJtqRitcrg,138
https://youtu.be/WPDJwmpCxcc,118
https://youtu.be/8AS6ExqxR_M,148
https://youtu.be/WUBk86wqydw,24
https://youtu.be/GxteyRiBR7I,235
https://youtu.be/PVsPEe0HEM8,428
https://youtu.be/MpSuMF3i2PE,57
https://youtu.be/boVdk_-uKDo,342
https://youtu.be/B8b3vCr1K6k,1654
https://youtu.be/8IQf5xh7hrQ,336
https://youtu.be/Oce_fX0Pdm4,2022
https://youtu.be/zBPCtndecks,854
https://youtu.be/Vf6bNt0yZ3E,326
https://youtu.be/RIg9nDffHRM,129
https://youtu.be/HTrjhoFFQgk,111
https://youtu.be/nx7jarrCDkY,126
https://youtu.be/l2gzE3E0k3s,133
https://youtu.be/RjO8Lv3ieS8,84
https://youtu.be/yR1Iqlk8yLA,98
https://youtu.be/boNze57C0jM,114
https://youtu.be/rXYZFkI3Ykw,89
https://youtu.be/Gl2HAtrvnbc,74
https://youtu.be/nFaTX91SSQw,69
https://youtu.be/Hg8Px7taU2I,100
https://youtu.be/DxubFJR7CcU,194
https://youtu.be/6Y7BhMJ0BI8,492
https://youtu.be/W-cApB2X4nc,855
https://youtu.be/fjfd3u-a-xE,1454
https://youtu.be/F_3zgxLj08Y,656
https://youtu.be/gZbRfrKci0w,583
https://youtu.be/3pJJ3lJNHKs,79
https://youtu.be/UyWMFjLSXQ8,883
https://youtu.be/kgNg8ShZpQI,836
https://youtu.be/JS0arBMCASk,1080
https://youtu.be/L-rOMQHnl4o,297
https://youtu.be/FIFXFYNjZfk,1007
https://youtu.be/91yXjMEmbnU,247
https://youtu.be/Pshgf2IZAN0,411
https://youtu.be/eZZdvzSN2LU,666
https://youtu.be/sc-Pjw6zbX4,798
https://youtu.be/3qiWE8Uz4M4,265
https://youtu.be/c1yD04fHp-k,403
https://youtu.be/MiGBcHEqBrU,81
https://youtu.be/RVigQst9vrY,621
https://youtu.be/SEHg9QZyJUU,1030
https://youtu.be/RL6Dk0vn2ns,697
https://youtu.be/pcoy53RtxzM,404
https://youtu.be/Q9cEmWe-ruE,592
https://youtu.be/JFQ5SqExG2I,93
https://youtu.be/RWwzFqPYJmI,565
https://youtu.be/nG0AwYzgRCs,365
https://youtu.be/4UTxpm3I3dE,1038
https://youtu.be/ZLjkCU6xO_Q,265
https://youtu.be/_CtzZZAFDkI,338
https://youtu.be/E1jHroGFw34,171
https://youtu.be/lSk7aDBSLFE,718
https://youtu.be/krJhTHRmqHw,696
https://youtu.be/Ka6dd1MS2YM,1013
https://youtu.be/Hwh1U277MzQ,569
https://youtu.be/jRJR79WSBZA,739
https://youtu.be/TZiqRjOOKtQ,65
https://youtu.be/0P-9g3Qoxy8,589
https://youtu.be/ZtYiWMZwUJ8,234
https://youtu.be/DSA4HtAAo00,482
https://youtu.be/9ynecW4cW1M,413
https://youtu.be/6ZBH5tcCzhI,1103
https://youtu.be/QxLG0NXZ5Qc,104
https://youtu.be/cu7RDn-lDmo,506
https://youtu.be/BARB7wsHKF4,564
