Id;lloc_de_gravacio;Nom_fitxer;YouTube_logotips;Incrustació_logotips;adreca_html;grup_edat;data_enregistrament;codi_informant;Activitat;Etiquetes;Gènere discursiu;;;;;;;;;;;;;;;
1;5;Dialogo 001 KN-NT;https://youtu.be/KCKtlvMm-ZA;"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/KCKtlvMm-ZA"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/W1oBNgdVjMg;31-50 anys;23/9/2016;KN-NT;1;LSC, CORPUS, llengua de signes catalana;Narració, Explicació;;;;;;;;;;;;;;;
2;5;Dialogo 004 KN-NT;https://youtu.be/3lV0kokUico;"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/3lV0kokUico"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/-pilRNbOmao;31-50 anys;23/9/2016;KN-NT;4;LSC, CORPUS, llengua de signes catalana;Explicació;;;;;;;;;;;;;;;
3;5;KN 00002;https://youtu.be/RBBf8jUmV4I;"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/RBBf8jUmV4I"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/eeahyT6-fAw;31-50 anys;23/9/2016;KN;2;LSC, CORPUS, llengua de signes catalana;Narració;;;;;;;;;;;;;;;
4;5;KN 00003;https://youtu.be/H8RPPfp1NnM;"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/H8RPPfp1NnM"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/bjKut_jFJ_Y;31-50 anys;23/9/2016;KN;3;LSC, CORPUS, llengua de signes catalana;Narració;;;;;;;;;;;;;;;
5;5;NT 00002;https://youtu.be/xqw1bTIzx4s;"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/xqw1bTIzx4s"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/4f1WagEoavI;31-50 anys;23/9/2016;NT;2;LSC, CORPUS, llengua de signes catalana;Narració;;;;;;;;;;;;;;;
6;5;NT 00003;https://youtu.be/_YbwsW6DPsc;"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/_YbwsW6DPsc"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/zjWnc47oJl8;31-50 anys;23/9/2016;NT;3;LSC, CORPUS, llengua de signes catalana;Narració;;;;;;;;;;;;;;;
7;5;SK003;https://youtu.be/yOxwuk8ybBE;"<iframe width=""1286"" height=""480"" src=""https://www.youtube.com/embed/yOxwuk8ybBE"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/mVkAWYhOiqw;18-30 anys;23/9/2016;SK;3;LSC, CORPUS, llengua de signes catalana;Narració;;;;;;;;;;;;;;;
8;5;SK002;https://youtu.be/uBT3pRlepP0;"<iframe width=""1286"" height=""480"" src=""https://www.youtube.com/embed/uBT3pRlepP0"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/HEGNzMckXYY;18-30 anys;23/9/2016;SK;2;LSC, CORPUS, llengua de signes catalana;Narració;;;;;;;;;;;;;;;
9;5;SC002;https://youtu.be/xkIXEEKMvf4;"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/xkIXEEKMvf4"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/aJwnVcKUHqY;18-30 anys;23/9/2016;SC;2;LSC, CORPUS, llengua de signes catalana;Narració;;;;;;;;;;;;;;;
10;5;Dialogo SC-SK 004;https://youtu.be/c0Njrh-PnN0;"<iframe width=""1286"" height=""480"" src=""https://www.youtube.com/embed/c0Njrh-PnN0"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/KLUsoT0ZCmQ;18-30 anys;23/9/2016;SC-SK;4;LSC, CORPUS, llengua de signes catalana;Explicació;;;;;;;;;;;;;;;
11;5;Dialogo SC-SK 001;https://youtu.be/Ho_5fRmiNUE;"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/Ho_5fRmiNUE"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/MxbNqecItw0;18-30 anys;23/9/2016;SC-SK;1;LSC, CORPUS, llengua de signes catalana;Narració, Explicació;;;;;;;;;;;;;;;
12;5;Dialogo SC-SK 005a;https://youtu.be/DK67Xsi1BlY;"<iframe width=""1286"" height=""480"" src=""https://www.youtube.com/embed/DK67Xsi1BlY"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/I_J0hu-BZYE;18-30 anys;23/9/2016;SC-SK;5;LSC, CORPUS, llengua de signes catalana;Descripció;;;;;;;;;;;;;;;
13;5;CORPUS 00008 KN NT;https://youtu.be/2D8f_-6GSuc;"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/2D8f_-6GSuc"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/zBRCdt-8VjA;31-50 anys;23/9/2016;KN-NT;9;LSC, CORPUS, llengua de signes catalana;Argumentació;;;;;;;;;;;;;;;
14;5;SK0007;https://youtu.be/rkjL-i3jby4;"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/rkjL-i3jby4"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>";https://youtu.be/nvK6JSCEfpA;18-30 anys;23/9/2016;SK;8;LSC, CORPUS, llengua de signes catalana;Explicació;;;;;;;;;;;;;;;
